conversation_num,speaker_nickname,average_positive_bert,average_negative_bert,average_neutral_bert,average_num_words,average_num_chars,average_num_messages,average_info_exchange_zscore_chats,average_info_exchange_zscore_conversation,average_discrepancies_lexical_per_100,average_hear_lexical_per_100,average_home_lexical_per_100,average_conjunction_lexical_per_100,average_certainty_lexical_per_100,average_inclusive_lexical_per_100,average_bio_lexical_per_100,average_achievement_lexical_per_100,average_adverbs_lexical_per_100,average_anxiety_lexical_per_100,average_third_person_lexical_per_100,average_negation_lexical_per_100,average_swear_lexical_per_100,average_death_lexical_per_100,average_health_lexical_per_100,average_see_lexical_per_100,average_body_lexical_per_100,average_family_lexical_per_100,average_negative_affect_lexical_per_100,average_quantifier_lexical_per_100,average_positive_affect_lexical_per_100,average_insight_lexical_per_100,average_humans_lexical_per_100,average_present_tense_lexical_per_100,average_future_tense_lexical_per_100,average_past_tense_lexical_per_100,average_relative_lexical_per_100,average_sexual_lexical_per_100,average_inhibition_lexical_per_100,average_sadness_lexical_per_100,average_social_lexical_per_100,average_indefinite_pronoun_lexical_per_100,average_religion_lexical_per_100,average_work_lexical_per_100,average_money_lexical_per_100,average_causation_lexical_per_100,average_anger_lexical_per_100,average_first_person_singular_lexical_per_100,average_feel_lexical_per_100,average_tentativeness_lexical_per_100,average_exclusive_lexical_per_100,average_verbs_lexical_per_100,average_friends_lexical_per_100,average_article_lexical_per_100,average_argue_lexical_per_100,average_auxiliary_verbs_lexical_per_100,average_cognitive_mech_lexical_per_100,average_preposition_lexical_per_100,average_first_person_plural_lexical_per_100,average_percept_lexical_per_100,average_second_person_lexical_per_100,average_positive_words_lexical_per_100,average_first_person_lexical_per_100,average_nltk_english_stopwords_lexical_per_100,average_hedge_words_lexical_per_100,average_num_question_naive,average_NTRI,average_word_TTR,average_first_pronouns_proportion,average_function_word_accommodation,average_content_word_accommodation,average_mimicry_bert,average_moving_mimicry,average_hedge_naive,average_textblob_subjectivity,average_textblob_polarity,average_positivity_zscore_chats,average_positivity_zscore_conversation,average_dale_chall_score,average_time_diff,average_please,average_please_start,average_hashedge,average_indirect_btw,average_hedges,average_factuality,average_deference,average_gratitude,average_apologizing,average_1st_person_pl,average_1st_person,average_1st_person_start,average_2nd_person,average_2nd_person_start,average_indirect_greeting,average_direct_question,average_direct_start,average_haspositive,average_hasnegative,average_subjunctive,average_indicative,average_forward_flow,average_certainty_rocklage,sum_positive_bert,sum_negative_bert,sum_neutral_bert,sum_num_words,sum_num_chars,sum_num_messages,sum_info_exchange_zscore_chats,sum_info_exchange_zscore_conversation,sum_discrepancies_lexical_per_100,sum_hear_lexical_per_100,sum_home_lexical_per_100,sum_conjunction_lexical_per_100,sum_certainty_lexical_per_100,sum_inclusive_lexical_per_100,sum_bio_lexical_per_100,sum_achievement_lexical_per_100,sum_adverbs_lexical_per_100,sum_anxiety_lexical_per_100,sum_third_person_lexical_per_100,sum_negation_lexical_per_100,sum_swear_lexical_per_100,sum_death_lexical_per_100,sum_health_lexical_per_100,sum_see_lexical_per_100,sum_body_lexical_per_100,sum_family_lexical_per_100,sum_negative_affect_lexical_per_100,sum_quantifier_lexical_per_100,sum_positive_affect_lexical_per_100,sum_insight_lexical_per_100,sum_humans_lexical_per_100,sum_present_tense_lexical_per_100,sum_future_tense_lexical_per_100,sum_past_tense_lexical_per_100,sum_relative_lexical_per_100,sum_sexual_lexical_per_100,sum_inhibition_lexical_per_100,sum_sadness_lexical_per_100,sum_social_lexical_per_100,sum_indefinite_pronoun_lexical_per_100,sum_religion_lexical_per_100,sum_work_lexical_per_100,sum_money_lexical_per_100,sum_causation_lexical_per_100,sum_anger_lexical_per_100,sum_first_person_singular_lexical_per_100,sum_feel_lexical_per_100,sum_tentativeness_lexical_per_100,sum_exclusive_lexical_per_100,sum_verbs_lexical_per_100,sum_friends_lexical_per_100,sum_article_lexical_per_100,sum_argue_lexical_per_100,sum_auxiliary_verbs_lexical_per_100,sum_cognitive_mech_lexical_per_100,sum_preposition_lexical_per_100,sum_first_person_plural_lexical_per_100,sum_percept_lexical_per_100,sum_second_person_lexical_per_100,sum_positive_words_lexical_per_100,sum_first_person_lexical_per_100,sum_nltk_english_stopwords_lexical_per_100,sum_hedge_words_lexical_per_100,sum_num_question_naive,sum_NTRI,sum_word_TTR,sum_first_pronouns_proportion,sum_function_word_accommodation,sum_content_word_accommodation,sum_mimicry_bert,sum_moving_mimicry,sum_hedge_naive,sum_textblob_subjectivity,sum_textblob_polarity,sum_positivity_zscore_chats,sum_positivity_zscore_conversation,sum_dale_chall_score,sum_time_diff,sum_please,sum_please_start,sum_hashedge,sum_indirect_btw,sum_hedges,sum_factuality,sum_deference,sum_gratitude,sum_apologizing,sum_1st_person_pl,sum_1st_person,sum_1st_person_start,sum_2nd_person,sum_2nd_person_start,sum_indirect_greeting,sum_direct_question,sum_direct_start,sum_haspositive,sum_hasnegative,sum_subjunctive,sum_indicative,sum_forward_flow,sum_certainty_rocklage,user_list
XanXrEFjhAzpdFjk6,o8MuyZu2aoM982cjt,0.32622675749999996,0.1705599875,0.5032132425,3.0,11.0,1.0,-0.4001181875569885,0.6708203932499368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0024999999999999996,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0024999999999999996,0.0,0.0,0.0024999999999999996,0.0075,0.0,0.0024999999999999996,0.0024999999999999996,0.0024999999999999996,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06998127975156043,0.09526596934712231,0.0,0.35,-0.024999999999999994,0.1760587300214786,-0.49563417556614225,0.1488,7.7219999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.10521304996443741,4.5,1.3049070299999999,0.68223995,2.01285297,12,44,4,-1.600472750227954,2.6832815729997472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.009999999999999998,0.03,0.0,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.03,0.0,0,0,4.0,0.0,0,0.0,0.27992511900624173,0.38106387738848924,0,1.4,-0.09999999999999998,0.7042349200859144,-1.982536702264569,0.5952,30.887999999999998,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.42085219985774963,18.0,['YYDdpWfhjAnzmC4nY' 'gezQSAW4Wn9rLWJyD']
ZunRcdgoEApFwF6oy,o8MuyZu2aoM982cjt,0.29048175299999995,0.071319673,0.63819857,4.0,20.5,1.0,-0.22209534158461397,-0.21055872190307892,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.009999999999999998,0.005,0.0,0.005,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.34759142150843114,0.4088534291173125,0.0,0.1,-0.05,0.04623262441353698,0.07569582548792836,0.1984,6.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4145402543425539,4.5,0.5809635059999999,0.142639346,1.27639714,8,41,2,-0.44419068316922794,-0.42111744380615784,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.019999999999999997,0.01,0.0,0.01,0.0,0.0,0.0,0.019999999999999997,0.0,0,0,2.0,0.0,0,0.0,0.6951828430168623,0.817706858234625,0,0.2,-0.1,0.09246524882707396,0.15139165097585672,0.3968,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8290805086851079,9.0,YYDdpWfhjAnzmC4nY
ZunRcdgoEApFwF6oy,YYDdpWfhjAnzmC4nY,0.255531111,0.08063574849999999,0.66383315,6.0,30.0,1.0,0.044938927373948,0.2105587219030789,0.004999999999999999,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.004999999999999999,0.004999999999999999,0.009999999999999998,0.014999999999999998,0.004999999999999999,0.004999999999999999,0.0,0.004999999999999999,0.004999999999999999,0.029999999999999995,0.0,0.5,0.0,0.9545454545454546,0.045454545454545456,0.5,0.0,0.28003657305681584,0.3536219654618389,0.0,0.0,0.0,-0.08070835105500318,-0.07569582548792869,2.8335772727272728,16.6965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4066713417732374,6.1,0.511062222,0.16127149699999999,1.3276663,12,60,2,0.089877854747896,0.4211174438061578,0.009999999999999998,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.009999999999999998,0.009999999999999998,0.019999999999999997,0.029999999999999995,0.009999999999999998,0.009999999999999998,0.0,0.009999999999999998,0.009999999999999998,0.05999999999999999,0.0,1,0,1.9090909090909092,0.09090909090909091,1,0.0,0.5600731461136317,0.7072439309236778,0,0.0,0.0,-0.16141670211000636,-0.15139165097585738,5.6671545454545456,33.393,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8133426835464748,12.2,o8MuyZu2aoM982cjt
XanXrEFjhAzpdFjk6,YYDdpWfhjAnzmC4nY,0.91973593,0.012037095000000001,0.068226944,2.0,8.0,1.0,-0.5781410335293631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17153990369272287,0.2763347059659885,0.0,0.30000000000000004,0.35,2.331688183313813,1.6886800833875735,0.0992,4.4705,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3841276057034517,4.5,1.83947186,0.024074190000000002,0.136453888,4,16,2,-1.1562820670587262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0,0,2.0,0.0,0,0.0,0.34307980738544575,0.552669411931977,0,0.6000000000000001,0.7,4.663376366627626,3.377360166775147,0.1984,8.941,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.7682552114069034,9.0,['o8MuyZu2aoM982cjt' 'gezQSAW4Wn9rLWJyD']
XanXrEFjhAzpdFjk6,gezQSAW4Wn9rLWJyD,0.33456648666666666,0.148190678,0.51724286,0.6666666666666666,2.6666666666666665,1.0,-0.8155048281591958,-0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.13213499649856056,0.1935066162992074,0.0,0.0,0.0,0.20634868451101565,-0.464941154836859,0.03306666666666667,11.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.26772802533782375,5.566666666666666,1.00369946,0.444572034,1.5517285799999998,2,8,3,-2.4465144844775875,-2.6832815729997477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0,0,2.0,0.0,0,0.0,0.3964049894956817,0.5805198488976222,0,0.0,0.0,0.619046053533047,-1.394823464510577,0.0992,35.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8031840760134713,16.7,['o8MuyZu2aoM982cjt' 'YYDdpWfhjAnzmC4nY']
9vspE2xd5cTZqBSoH,YYDdpWfhjAnzmC4nY,0.145596517,0.20384589,0.6505576,3.5,14.5,1.0,-0.3111067645708012,0.07559289460184546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.005,0.0,0.01,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.1036890758997952,0.1670501364999749,0.0,0.35,0.4,-0.47999156308006197,-0.1202234791581121,0.17359999999999998,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.233716425810827,4.5,0.291193034,0.40769178,1.3011152,7,29,2,-0.6222135291416024,0.1511857892036909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,1,0,2.0,0.0,0,0.0,0.2073781517995904,0.3341002729999498,0,0.7,0.8,-0.9599831261601239,-0.2404469583162242,0.34719999999999995,0.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.467432851621654,9.0,['o8MuyZu2aoM982cjt' 'gezQSAW4Wn9rLWJyD']
9vspE2xd5cTZqBSoH,o8MuyZu2aoM982cjt,0.17302982374999998,0.085280468,0.7416897025,3.75,19.0,1.0,-0.3111067645708012,0.07559289460184548,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.004999999999999999,0.0025,0.0025,0.0,0.0,0.0075,0.0,0.0,0.0,0.005,0.0,0.0,0.0025,0.0,0.0024999999999999996,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.004999999999999999,0.004999999999999999,0.0,0.0,0.0,0.0,0.0025,0.01,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,0.14631277194897468,0.12168053487087784,0.0,0.125,0.125,-0.3803536016608501,0.15402638369756272,2.410958333333333,-1.6844999999999999,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16194326644709017,4.445,0.6921192949999999,0.341121872,2.96675881,15,76,4,-1.2444270582832049,0.30237157840738194,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.019999999999999997,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.009999999999999998,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.019999999999999997,0.019999999999999997,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0,0,4.0,0.25,0,0.0,0.5852510877958987,0.48672213948351134,0,0.5,0.5,-1.5214144066434003,0.6161055347902509,9.643833333333331,-6.7379999999999995,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6477730657883607,17.78,['YYDdpWfhjAnzmC4nY' 'gezQSAW4Wn9rLWJyD']
9vspE2xd5cTZqBSoH,gezQSAW4Wn9rLWJyD,0.138833885,0.08930629,0.77185985,4.0,14.0,1.0,-0.4001181875569886,-0.2267786838055363,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.015,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.005,0.01,0.005,0.0,0.0,0.0,0.0,0.01,0.020000000000000004,0.0,0.0,0.0,1.0,0.26666666666666666,0.0,0.004655671253800174,0.09066255140349651,0.1423605410903307,0.0,0.0,0.0,-0.5045534896625483,-0.18782928823701212,0.1984,13.828,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1591771957123722,4.390000000000001,0.27766777,0.17861258,1.5437197,8,28,2,-0.8002363751139772,-0.4535573676110726,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.04000000000000001,0.0,0,0,2.0,0.5333333333333333,0,0.009311342507600347,0.18132510280699302,0.2847210821806614,0,0.0,0.0,-1.0091069793250966,-0.37565857647402423,0.3968,27.656,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3183543914247444,8.780000000000001,['YYDdpWfhjAnzmC4nY' 'o8MuyZu2aoM982cjt']
6Xvy3eADKCE6u4Rvk,o8MuyZu2aoM982cjt,0.06783825814285714,0.2142642142857143,0.71789754,4.285714285714286,24.714285714285715,1.0,-0.17123167130679265,-0.36405883649500176,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0014285714285714286,0.002857142857142857,0.0028571428571428567,0.0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.0,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0,0.008571428571428572,0.0,0.004285714285714286,0.0,0.0014285714285714286,0.0014285714285714286,0.0,0.002857142857142857,0.005714285714285714,0.0,0.0,0.0,0.0,0.0014285714285714286,0.0,0.0014285714285714286,0.0,0.0014285714285714286,0.0014285714285714286,0.0,0.0071428571428571435,0.005714285714285714,0.0,0.0,0.0,0.0014285714285714286,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.18255793157040787,0.13870433667449275,0.0,0.15238095238095237,-0.0031746031746031633,-0.7624101014880537,0.2924110782552941,0.21257142857142858,-13.334142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.1990009903445964,4.5,0.47486780700000003,1.4998495,5.0252827799999995,30,173,7,-1.1986216991475485,-2.5484118554650124,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.0,0.03,0.0,0.01,0.01,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.05,0.04,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0,0,7.0,0.0,1,0.0,1.2779055209928551,0.9709303567214492,0,1.0666666666666667,-0.022222222222222143,-5.336870710416376,2.0468775477870587,1.488,-93.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.3930069324121748,31.5,['gezQSAW4Wn9rLWJyD' 'YYDdpWfhjAnzmC4nY']
6Xvy3eADKCE6u4Rvk,gezQSAW4Wn9rLWJyD,0.015660767,0.5151519,0.4691873,9.0,50.0,1.0,0.48999604230488447,1.0798355319767001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.09613682546700207,0.09613682546700207,0.0,0.5,0.5,-0.9519191131730292,-1.2734791578787574,0.44639999999999996,-6.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09613682546700207,4.5,0.015660767,0.5151519,0.4691873,9,50,1,0.48999604230488447,1.0798355319767001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0,0,1.0,0.1111111111111111,0,0.0,0.09613682546700207,0.09613682546700207,0,0.5,0.5,-0.9519191131730292,-1.2734791578787574,0.44639999999999996,-6.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09613682546700207,4.5,['o8MuyZu2aoM982cjt' 'YYDdpWfhjAnzmC4nY']
ZD8gNf8bbAP2yL2Hq,o8MuyZu2aoM982cjt,0.7356123649999999,0.019336297,0.24505137,2.0,9.0,1.0,-0.5781410335293632,-0.7071067811865474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.08006619668728455,0.08613478418613221,0.0,0.5,0.5,1.6629501112679497,-0.3261582599585934,0.0992,-3.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.45531603187299347,4.5,1.4712247299999999,0.038672594,0.49010274,4,18,2,-1.1562820670587264,-1.4142135623730947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,1,0,2.0,0.0,0,0.0,0.1601323933745691,0.17226956837226443,0,1.0,1.0,3.3259002225358993,-0.6523165199171868,0.1984,-7.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9106320637459869,9.0,YYDdpWfhjAnzmC4nY
